Memoria RAM își pierde conținutul la deconectarea sistemului de calcul.  (1)
Un sistem de calcul dispune de 16 pagini virtuale și 8 pagini fizice. Dimensiunea unei pagini este 512 octeți.Care este adresa fizică ce corespunde adresei virtuale 3584, dacă tabela de pagini a procesorului curent este următoarea:  (23)
În cazul alocării contigue a spațiului pe disc poate să apară o fragmentare, deoarece se pierde o parte din ultimul bloc de date, ocupat de fișiere.Aceasta este o fragmentare externă.  (24)
Determinați dacă starea descrisă duce la impas. Răspundeți cu da sau nu.  (24,44)
Exista două spații de adresă: un spațiu al memoriei și un spațiu de input/output.  (26)
Modul de organizare a sistemului de fișiere în directorii poate fi:  (33)
Una din strategii împotriva interblocărilor este prevenirea problemei.  (27)
Care dintre următoarele NU reprezintă o resursă partajată in cazul virtualizării?  (27)
Porțiunea de spațiu extra spațiului disponibil în RAM se numește memorie logică.  (27)
Tipurile de memorie internă în Sistemul de Calcul sunt:  (28,42)
Determinați dacă starea descrisă duce la impas. Răspundeți cu DA sau NU.  (49)
Procesul se adresează la paginile A,B,C,D,E și F în ordinea: ABCDAFBEACFBCDEF. Utilizați algoritmul LRU pentru determinarea numărului de întreruperi de pagină, dacă procesul se execută cu trei pagini fizice, inițial libere.  (48)
În sistemul de operare UNIX diferențierea între fișiere executabile și cele neexecutabile se face pe baza extensiei numelui fișierului.  (31)
Ce execută comanda  (34)?
Adresa determinată ca distanța de la adresa de bază a programului pâna la adresa entității respective se numște adresă relativă.  (35)
Cea mai tipică tehnică de mărire a vitezei de operare cu discul este bufferizarea.  (36)
Comanda cat >farmer.farm afișează pe monitor conținutul fișierului farmer.farm.  (36)
Într-un sistem de calcul resursele sunt de doua tipuri:  (37)
Expresia regulată "[Ff]arm"va afișa Farm.  (38)
Alocarea reală cu partiții fixe și cu partiții variabile se utilizează pentru:  (40)
O resursă non-preemptibilă este o resursă ce poate fi luată de la deţinătorul ei fără ca execuţia acestuia să eșueze.  (43)
Comanda cut —d: -f 1,3 /etc/passwd va afişa lista utilizatorilor logaţi și numerele lor de înregistrare.  (43)
Porturile sunt mapate în spațiul de adrese i/o și uneori direct în spațiul de adrese al memoriei.  (44)
În cazul utilizării alocării contigue a spațiului pe disc poate să apară, în timp, o fragmentare a discului și necesitatea compactării datelor din volum la fiecare operație de ștergere fișier.  (45)
Alocarea spațiului de memorie între mai multe programe se face după următoarele modele:  (45)
Ce execută comanda  (46)?
Folosirea multiplelor porțiuni pentru păstrarea datelor în RAM se numește fragmentarea memoriei.  (46)
Un sistem de calcul dispune de 16 pagini virtuale și 8 pagini fizice. Dimensiunea unei pagini este 512 octeți.Care este adresa fizică ce corespunde adresei virtuale 2127, dacă tabela de pagini a procesorului curent este următoarea:  (47)
Fie P1.BAT este următorul fișier de comenzi: (47)&
Pentru a putea utiliza un sistem de fișiere pe o partiție dată, prima acțiune absolut necesară care trebuie executată este:  (48)
Un sistem de calcul dispune de 8 pagini virtuale și 4 pagini fizice. Dimensiunea unei pagini este 1024 octeți.Care este adresa fizică ce corespunde adresei virtuale 2127, dacă tabela de pagini a procesorului curent este următoarea:  (50)
Evidența ocupării memoriei interne este o funcție de gestionare a memoriei.  (51)
Într-un sistem de fișiere accesul la fișiere este obligator secvențial.  (52)
Sub sistemul de operare UNIX fiecărui dispozitiv periferic îi este asociat un fișier special.  (52)
Alocarea paginată, segmentată, segmentato - paginată se referă la:
Procesul se adresează la paginile 0154723257103. Utilizați algoritmul FIFO pentru determinarea numărului de întreruperi de pagină, dacă procesul se execută cu patru pagini fizice inițial libere.  (54)
Sistemul de fișiere al SO UNIX pentru alocarea spațiului pe disc utilizează schema:  (55)
Ce poate să afișeze comanda grep "abc*" words.1 din rândurile unui fișier words.1?  (58)
Cea mai tipică tehnică de mărire a vitezei de operare cu discul este cașarea  (59)
Restaurarea în urma interblocarii se face prin preemțiune.  (60)
Expresia regulată  (61)&




22,51*
